PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39676120,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,2.0,0.0001,0.0,2420.1614377498627,0.3285341063758571,0.2416407102925322,0.2416407102925322,2640.0,2639.0,Early stopping due no time.,0.9167281969930187,93.27462121212122
39676121,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,2.0,0.0015,0.0,653.8373844623566,0.3285341063758571,0.2608373516746235,0.2624972434536615,700.0,499.0,Early stopping due to no improvement (AdaptiveES).,0.9340540313720703,93.93285714285715
39676122,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,4.0,0.0,0.0,2004.1530499458313,0.3285341063758571,0.2429585999896584,0.24473568334581197,1670.0,1379.0,Early stopping due to no improvement (AdaptiveES).,1.2000919234966803,97.44730538922155
39676123,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,4.0,0.0001,0.0,1935.5799527168274,0.3285341063758571,0.24257639748549625,0.24349579797865195,1610.0,1329.0,Early stopping due to no improvement (AdaptiveES).,1.2022238454463319,97.21677018633541
39676124,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,4.0,0.0015,0.0,1942.5131392478943,0.3285341063758571,0.23897967120770341,0.23949561083227128,1620.0,1339.0,Early stopping due to no improvement (AdaptiveES).,1.199082585911692,97.23086419753086
39676125,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,8.0,0.0,0.0,2413.6244626045227,0.3285341063758571,0.23902358658536488,0.23914433627925719,1358.0,1289.0,Early stopping due no time.,1.7773380771125715,99.94550810014728
39676126,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,8.0,0.0001,0.0,2413.328699350357,0.3285341063758571,0.24208763365550182,0.242250652071691,1352.0,1289.0,Early stopping due no time.,1.7850069073883035,99.95488165680473
39676127,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,8.0,0.0015,0.0,2413.9533853530884,0.3285341063758571,0.24167632891527452,0.24221767252178206,1352.0,1229.0,Early stopping due no time.,1.7854688959361533,99.94008875739645
39676128,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,16.0,0.0,0.0,2413.030601978302,0.3285341063758571,0.24348144104127503,0.24370007835771737,837.0,769.0,Early stopping due no time.,2.882952322384505,99.93070489844683
39676129,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,16.0,0.0001,0.0,2412.1336295604706,0.3285341063758571,0.24332120472434665,0.2433986200074627,835.0,789.0,Early stopping due no time.,2.8887833798003055,99.93293413173653
39676130,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,16.0,0.0015,0.0,2412.24839758873,0.3285341063758571,0.2442205249122426,0.2443399437286903,835.0,769.0,Early stopping due no time.,2.8889208433870786,99.92455089820359
39676131,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,32.0,0.0,0.0,2411.728940010071,0.3285341063758571,0.2500091954143463,0.2500091954143463,442.0,439.0,Early stopping due no time.,5.456401268281549,99.85067873303167
39676132,electricity/D,30.0,1840.0,1.0,hierarchical_sales/D,30.0,826.0,1.0,M_DENSE/H,48.0,600.0,1.0,SZ_TAXI/15T,48.0,1092.0,1.0,2400.0,5e-06,32.0,0.0001,0.0,2411.564129114151,0.3285341063758571,0.2504842902905653,0.2504842902905653,442.0,439.0,Early stopping due no time.,5.456028210091914,99.86877828054298
