PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638987,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,64,0.0,0.0,150.306578874588,0.2601172420819943,0.23528946290461947,0.25160392166370726,250,49,Early stopping due to no improvement (AdaptiveES).,0.6012276792526245,84.936
39638988,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,64,0.0001,0.0,150.38155364990234,0.2601172420819943,0.23575687380426336,0.2481517317758723,250,49,Early stopping due to no improvement (AdaptiveES).,0.6015275344848633,84.936
39638989,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-05,64,0.0015,0.0,156.762348651886,0.2601172420819943,0.23553893423363997,0.25450456679432715,260,59,Early stopping due to no improvement (AdaptiveES).,0.6029335196201618,85.47692307692307
39638990,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,2,0.0,0.0,555.1818962097168,0.2601172420819943,0.23810074943136947,0.23884035849624236,1700,1409,Early stopping due to no improvement (AdaptiveES).,0.3265780246959013,16.42058823529412
39638991,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,2,0.0001,0.0,572.7702250480652,0.2601172420819943,0.23847157967631216,0.23931680276721912,1700,1409,Early stopping due to no improvement (AdaptiveES).,0.3369240456468919,15.629411764705882
39638992,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,2,0.0015,0.0,561.3105902671814,0.2601172420819943,0.23784994205199197,0.2383401913583006,1690,1399,Early stopping due to no improvement (AdaptiveES).,0.332136884948911,15.949112426035503
39638993,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,4,0.0,0.0,226.09600138664246,0.2601172420819943,0.24192018610978094,0.2425807357359566,650,449,Early stopping due to no improvement (AdaptiveES).,0.34784066420335036,22.175384615384615
39638994,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,4,0.0001,0.0,244.09429264068604,0.2601172420819943,0.24205664783077926,0.2425717753796242,680,479,Early stopping due to no improvement (AdaptiveES).,0.3589628363356871,21.754411764705882
39638995,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,4,0.0015,0.0,258.3421354293823,0.2601172420819943,0.24186372797948172,0.24269622473684846,750,549,Early stopping due to no improvement (AdaptiveES).,0.34445678679148356,22.252
39638996,hospital,12,767,1,car_parts_with_missing,12,2141,1,monash_nn5_weekly,8,222,1,covid_deaths,30,226,1,electricity/W,8,1104,1,ett1/W,8,14,1,ett2/W,8,14,1,2400,5e-06,8,0.0,0.0,327.77941823005676,0.2601172420819943,0.24151514143233957,0.24290368402851129,960,759,Early stopping due to no improvement (AdaptiveES).,0.341437403857708,35.42916666666667
