PID,Dataset_1,Forecast Horizon_1,TS Amount_1,Windows_1,Dataset_2,Forecast Horizon_2,TS Amount_2,Windows_2,Dataset_3,Forecast Horizon_3,TS Amount_3,Windows_3,Dataset_4,Forecast Horizon_4,TS Amount_4,Windows_4,Dataset_5,Forecast Horizon_5,TS Amount_5,Windows_5,Dataset_6,Forecast Horizon_6,TS Amount_6,Windows_6,Dataset_7,Forecast Horizon_7,TS Amount_7,Windows_7,Dataset_8,Forecast Horizon_8,TS Amount_8,Windows_8,Dataset_9,Forecast Horizon_9,TS Amount_9,Windows_9,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39638157,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,4,0.0,0.0,326.88318729400635,0.38732843924593524,0.34525019354388037,0.34665583562505553,850,649,Early stopping due to no improvement (AdaptiveES).,0.38456901045406566,76.16470588235295
39638158,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,4,0.0001,0.0,299.90507411956787,0.38732843924593524,0.3450987073792038,0.3458795132358152,790,589,Early stopping due to no improvement (AdaptiveES).,0.3796272917638851,76.29493670886076
39638159,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,4,0.0015,0.0,290.97719287872314,0.38732843924593524,0.34500607203940875,0.345890302406067,780,579,Early stopping due to no improvement (AdaptiveES).,0.3730482795299628,77.48974358974358
39638160,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,8,0.0,0.0,316.84895515441895,0.38732843924593524,0.3448502587322223,0.345091132889036,650,449,Early stopping due to no improvement (AdaptiveES).,0.48746060334719143,88.28307692307692
39638161,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,8,0.0001,0.0,1415.766746044159,0.38732843924593524,0.3385912185347818,0.3395119956304652,3050,2639,Early stopping due to no improvement (AdaptiveES).,0.4641860993182073,88.94754098360656
39638162,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,8,0.0015,0.0,318.9268584251404,0.38732843924593524,0.34500900121926675,0.3456452993717713,650,449,Early stopping due to no improvement (AdaptiveES).,0.49065742932833156,88.71538461538462
39638163,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,16,0.0,0.0,957.6495893001556,0.38732843924593524,0.342455276249232,0.3432285600058064,1400,1159,Early stopping due to no improvement (AdaptiveES).,0.6840358538287027,96.725
39638164,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,16,0.0001,0.0,1026.2427995204926,0.38732843924593524,0.34309193685707573,0.3435135773296262,1510,1249,Early stopping due to no improvement (AdaptiveES).,0.6796313064777298,96.81324503311258
39638165,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,16,0.0015,0.0,1233.2228202819824,0.38732843924593524,0.3426481199650848,0.3431834571626999,1810,1499,Early stopping due to no improvement (AdaptiveES).,0.6813389928301395,97.00718232044198
39638166,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,32,0.0,0.0,1357.8217644691467,0.38732843924593524,0.34435212174377205,0.3448622395901948,1240,1019,Early stopping due to no improvement (AdaptiveES).,1.095017965955119,98.80483870967743
39638167,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,32,0.0001,0.0,1436.1318702697754,0.38732843924593524,0.3406395808587493,0.3413432408702994,1310,1079,Early stopping due to no improvement (AdaptiveES).,1.0962843518220742,98.83816793893129
39638168,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,32,0.0015,0.0,1302.22744679451,0.38732843924593524,0.34218676997061526,0.3428072747100671,1190,979,Early stopping due to no improvement (AdaptiveES).,1.0943092648722546,98.7655462184874
39638169,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,64,0.0,0.0,1902.4489560127258,0.38732843924593524,0.34433197131800086,0.3448006634573762,990,789,Early stopping due to no improvement (AdaptiveES).,1.9216661908409811,99.8979797979798
39638170,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,64,0.0001,0.0,2373.642620563507,0.38732843924593524,0.3436970769246656,0.34409096816257007,1240,1019,Early stopping due to no improvement (AdaptiveES).,1.9142283729968532,99.91774193548387
39638171,solar/D,30,274,1,us_births/M,12,2,1,SZ_TAXI/H,48,312,1,M_DENSE/D,30,90,1,ett1/D,30,21,1,ett2/D,30,21,1,monash_fred_md,12,749,1,nn5,30,333,1,taxi_1h,48,4856,1,2400,5e-06,64,0.0015,0.0,2408.3265750408173,0.38732843924593524,0.3435216850790007,0.3438167577220389,1254,1179,Early stopping due no time.,1.9205160490823894,99.92185007974481
